,PC_RATIO
2019-01-02,1.0768871698658613
2019-01-03,1.1212736108178532
2019-01-04,0.8560377967587005
2019-01-07,0.7854666926348652
2019-01-08,0.8333341151784182
2019-01-09,0.9208000979302315
2019-01-10,1.041217548538146
2019-01-11,0.9404860796791273
2019-01-14,1.0814502475553638
2019-01-15,0.9341012626453218
2019-01-16,0.9886346013391714
2019-01-17,0.7932491877369633
2019-01-18,0.7950745729995071
2019-01-22,1.0555695653323562
2019-01-23,1.0820372122343678
2019-01-24,0.9442142058350395
2019-01-25,0.8006410563100229
2019-01-28,1.0650550228042128
2019-01-29,0.9064997354759583
2019-01-30,0.8280386746555681
2019-01-31,0.793821317758511
2019-02-01,0.9757885052599129
2019-02-04,0.8190514295039527
2019-02-05,0.8203668768510495
2019-02-06,0.8694164895854433
2019-02-07,0.950645694860512
2019-02-08,0.9950192000658833
2019-02-11,0.7813601021467589
2019-02-12,0.7652633748715462
2019-02-13,0.8674471305732876
2019-02-14,0.9129909273098432
2019-02-15,0.7682178993018054
2019-02-19,0.84216152521998
2019-02-20,0.7936932734907659
2019-02-21,0.9780127275109035
2019-02-22,0.8008195383244818
2019-02-25,0.8096459933218738
2019-02-26,0.8835327853824023
2019-02-27,0.8414456073452586
2019-02-28,0.9465485100821912
2019-03-01,0.824740612536412
2019-03-04,0.9527526490202712
2019-03-05,0.8887823545012064
2019-03-06,0.9734807021252255
2019-03-07,1.0568089908818887
2019-03-08,1.0483045593686275
2019-03-11,0.8277593320016319
2019-03-12,0.8742790651807791
2019-03-13,0.8031777047120505
2019-03-14,0.9189919744814152
2019-03-15,0.8219758963864082
2019-03-18,0.752733368187431
2019-03-19,0.8833606479300581
2019-03-20,0.9508608890885326
2019-03-21,0.8156469013577379
2019-03-22,0.9876681942795875
2019-03-25,0.9996442100743587
2019-03-26,0.8841539098539771
2019-03-27,0.985783297213698
2019-03-28,0.9088857490151023
2019-03-29,0.8072025284367274
2019-04-01,0.7785644153765187
2019-04-02,0.8421666470969652
2019-04-03,0.832504485899027
2019-04-04,0.7939774317518877
2019-04-05,0.8120997666636691
2019-04-08,0.7328433123966986
2019-04-09,0.9363663565616236
2019-04-10,0.8559379351400175
2019-04-11,0.8746570131596774
2019-04-12,0.6985230158678756
