,OCC_TOTAL_OI
2025-04-14,536962640.0
2025-04-15,543249966.0
2025-04-16,542990016.0
2025-04-17,459898617.0
2025-04-21,470133572.0
2025-04-22,480479023.0
2025-04-23,490740020.0
2025-04-24,500429964.0
2025-04-25,485930081.0
2025-04-28,495543356.0
2025-04-29,503490308.0
2025-04-30,508574792.0
2025-05-01,517077031.0
2025-05-02,502420332.0
2025-05-05,512127442.0
2025-05-06,520591937.0
2025-05-07,527969182.0
2025-05-08,537942369.0
2025-05-09,526967768.0
2025-05-12,537759950.0
2025-05-13,550231751.0
2025-05-14,559921908.0
2025-05-15,569334251.0
2025-05-16,483300607.0
2025-05-19,494752784.0
2025-05-20,504252367.0
2025-05-21,509622166.0
2025-05-22,518459080.0
2025-05-23,504744318.0
2025-05-27,515576625.0
2025-05-28,524687685.0
2025-05-29,532972983.0
2025-05-30,515308274.0
2025-06-02,524592984.0
2025-06-03,533902294.0
2025-06-04,542097603.0
2025-06-05,551987221.0
2025-06-06,539338283.0
2025-06-09,550266745.0
2025-06-10,559411986.0
2025-06-11,567743929.0
2025-06-12,575540248.0
2025-06-13,560923823.0
2025-06-16,571000630.0
2025-06-17,579240549.0
2025-06-18,582214568.0
2025-06-20,451021451.0
2025-06-23,462887159.0
2025-06-24,474920117.0
2025-06-25,485152293.0
2025-06-26,496716025.0
2025-06-27,485529387.0
2025-06-30,493606534.0
2025-07-01,503424719.0
2025-07-02,512089482.0
2025-07-03,499980756.0
2025-07-07,509885093.0
2025-07-08,518807934.0
2025-07-09,528631426.0
2025-07-10,538326469.0
2025-07-11,527238966.0
2025-07-14,537470952.0
2025-07-15,547259300.0
2025-07-16,552354708.0
2025-07-17,563977280.0
2025-07-18,480694426.0
2025-07-21,495886942.0
2025-07-22,507586306.0
2025-07-23,520571111.0
2025-07-24,531048375.0
2025-07-25,512440500.0
2025-07-28,523906923.0
2025-07-29,534918405.0
2025-07-30,544825537.0
2025-07-31,552704462.0
2025-08-01,536926742.0
2025-08-04,548339724.0
2025-08-05,558272051.0
2025-08-06,568400337.0
2025-08-07,578159683.0
2025-08-08,562037976.0
2025-08-11,573685442.0
2025-08-12,584419396.0
2025-08-13,595192199.0
2025-08-14,605669748.0
2025-08-15,515680789.0
2025-08-18,528643706.0
2025-08-19,538892353.0
2025-08-20,543650820.0
2025-08-21,551330054.0
2025-08-22,537887090.0
2025-08-25,549392108.0
2025-08-26,558791095.0
2025-08-27,569474442.0
2025-08-28,579500268.0
2025-08-29,559267610.0
2025-09-02,570422576.0
2025-09-03,579836718.0
2025-09-04,590557528.0
2025-09-05,577597247.0
2025-09-08,589693666.0
2025-09-09,601471822.0
2025-09-10,612831475.0
2025-09-11,624937430.0
2025-09-12,611735081.0
2025-09-15,624857771.0
2025-09-16,636543755.0
2025-09-17,642970273.0
2025-09-18,654756925.0
2025-09-19,528677640.0
2025-09-22,545846264.0
2025-09-23,559348189.0
2025-09-24,570732832.0
2025-09-25,582834494.0
2025-09-26,566497880.0
2025-09-29,580266507.0
2025-09-30,587136051.0
2025-10-01,599352254.0
2025-10-02,611768310.0
2025-10-03,595791016.0
2025-10-06,610194420.0
2025-10-07,622561186.0
2025-10-08,634877838.0
2025-10-09,646292885.0
2025-10-10,630197547.0
2025-10-13,642555227.0
2025-10-14,654081157.0
2025-10-15,666024748.0
2025-10-16,679134222.0
2025-10-17,579125643.0
2025-10-20,594423956.0
2025-10-21,607519562.0
2025-10-22,613534271.0
2025-10-23,625486519.0
2025-10-24,607096405.0
2025-10-27,623182799.0
2025-10-28,634946288.0
2025-10-29,646968162.0
2025-10-30,656566152.0
2025-10-31,628110877.0
2025-11-03,640918932.0
2025-11-04,652237653.0
2025-11-05,662600782.0
2025-11-06,671598097.0
2025-11-07,651159743.0
2025-11-10,662390542.0
2025-11-11,671229463.0
2025-11-12,680372812.0
2025-11-13,689527406.0
2025-11-14,670758488.0
2025-11-17,687889360.0
2025-11-18,697705527.0
2025-11-19,700405176.0
2025-11-20,708625973.0
2025-11-21,602095041.0
2025-11-24,615914609.0
2025-11-25,626519615.0
2025-11-26,635898858.0
2025-11-28,614743232.0
2025-12-01,625556868.0
2025-12-02,635351894.0
2025-12-03,644292830.0
2025-12-04,653781584.0
2025-12-05,643805039.0
2025-12-08,654204028.0
2025-12-09,663583330.0
2025-12-10,671688857.0
2025-12-11,680268199.0
2025-12-12,665338663.0
2025-12-15,672317607.0
2025-12-16,679894509.0
2025-12-17,682348511.0
2025-12-18,690744703.0
2025-12-19,559066819.0
2025-12-22,571618966.0
2025-12-23,580733670.0
2025-12-24,583376308.0
2025-12-26,571348784.0
2025-12-29,579182748.0
2025-12-30,585682201.0
2025-12-31,584567166.0
2026-01-02,577316664.0
2026-01-05,590353168.0
2026-01-06,604630889.0
2026-01-07,614168895.0
2026-01-08,623870156.0
2026-01-09,615043667.0
2026-01-12,627252823.0
2026-01-13,638308653.0
2026-01-14,650607908.0
2026-01-15,661768564.0
2026-01-16,471291174.0
2026-01-20,486302059.0
2026-01-21,495133971.0
2026-01-22,509977913.0
2026-01-23,499990902.0
2026-01-26,513680925.0
2026-01-27,527278337.0
2026-01-28,538833033.0
2026-01-29,551289209.0
2026-01-30,532641829.0
2026-02-02,543876683.0
2026-02-03,558138676.0
2026-02-04,569584234.0
2026-02-05,583196770.0
2026-02-06,569260820.0
2026-02-09,580375792.0
2026-02-10,590307743.0
2026-02-11,599640039.0
2026-02-12,608842623.0
2026-02-13,593918462.0
2026-02-17,604661618.0
2026-02-18,608603584.0
2026-02-19,617919484.0
2026-02-20,525122857.0
2026-02-23,538861022.0
2026-02-24,551326109.0
2026-02-25,564037114.0
2026-02-26,575893720.0
2026-02-27,560491759.0
2026-03-02,572394291.0
2026-03-03,584420493.0
2026-03-04,594025055.0
2026-03-05,605525119.0
2026-03-06,592959503.0
2026-03-09,600892921.0
2026-03-10,610895359.0
2026-03-11,619102091.0
2026-03-12,628692251.0
2026-03-13,614915379.0
2026-03-16,624977057.0
2026-03-17,633679084.0
2026-03-18,635490291.0
2026-03-19,644356072.0
2026-03-20,512339312.0
2026-03-23,525487820.0
2026-03-24,536149273.0
2026-03-25,544709491.0
2026-03-26,557086726.0
2026-03-27,544939524.0
2026-03-30,554243294.0
2026-03-31,560117541.0
2026-04-01,569693030.0
2026-04-02,557597405.0
2026-04-06,567663536.0
2026-04-07,577409189.0
2026-04-08,586818410.0
2026-04-09,596259267.0
2026-04-10,584738685.0
2026-04-13,595696992.0
2026-04-14,611127981.0
2026-04-15,617033309.0
2026-04-16,629651557.0
2026-04-17,535273661.0
2026-04-20,547844453.0
2026-04-21,560662701.0
2026-04-22,570965023.0
2026-04-23,582114244.0
2026-04-24,564646497.0
2026-04-27,575076477.0
2026-04-28,585808661.0
2026-04-29,596262674.0
2026-04-30,605897003.0
2026-05-01,587798228.0
2026-05-04,600817909.0
2026-05-05,613572715.0
2026-05-06,626363312.0
2026-05-07,638365949.0
2026-05-08,624334429.0
2026-05-11,639602223.0
2026-05-12,652073002.0
2026-05-13,663048601.0
2026-05-14,676773866.0
2026-05-15,578061868.0
2026-05-18,592076004.0
2026-05-19,598711594.0
2026-05-20,609396616.0
2026-05-21,620575175.0
2026-05-22,604368393.0
2026-05-26,620464909.0
2026-05-27,628931227.0
2026-05-28,643060063.0
2026-05-29,625997911.0
2026-06-01,639655393.0
2026-06-02,652161012.0
2026-06-03,661970370.0
2026-06-04,673105235.0
2026-06-05,657320622.0
2026-06-08,666907350.0
2026-06-09,677563633.0
2026-06-10,685073347.0
2026-06-11,693995534.0
2026-06-12,678982715.0
2026-06-15,690735034.0
2026-06-16,702276472.0
2026-06-17,705496132.0
2026-06-18,553728436.0
2026-06-22,568393096.0
2026-06-23,581160747.0
2026-06-24,591853990.0
2026-06-25,602962956.0
2026-06-26,590382184.0
2026-06-29,603468254.0
2026-06-30,610244220.0
2026-07-01,619272463.0
