fold,train_end,test_start,test_end,n_train,n_test,mse,hit
59,2023-05-10,2023-06-08,2023-08-30,4780,60,3.233378447475843e-05,0.48333333333333334
60,2023-08-02,2023-08-31,2023-11-22,4840,60,6.506148929474875e-05,0.45
61,2023-10-25,2023-11-23,2024-02-14,4900,60,6.109961395850405e-05,0.48333333333333334
62,2024-01-17,2024-02-15,2024-05-08,4960,60,9.02563042473048e-05,0.5
63,2024-04-10,2024-05-09,2024-07-31,5020,60,0.00012334463826846331,0.45
64,2024-07-03,2024-08-01,2024-10-23,5080,60,5.898793097003363e-05,0.6333333333333333
65,2024-09-25,2024-10-24,2025-01-15,5140,60,0.00011808609269792214,0.5833333333333334
66,2024-12-18,2025-01-16,2025-04-09,5200,60,0.00011943352001253515,0.5833333333333334
67,2025-03-12,2025-04-10,2025-07-02,5260,60,0.00021234768792055547,0.4666666666666667
68,2025-06-04,2025-07-03,2025-09-24,5320,60,9.308489097747952e-05,0.5166666666666667
69,2025-08-27,2025-09-25,2025-12-17,5380,60,0.00021512532839551568,0.6666666666666666
70,2025-11-19,2025-12-18,2026-03-11,5440,60,0.0006293657352216542,0.5833333333333334
