,n,mse,hit
SPY,4260.0,0.00011439809168223292,0.5330985915492957
TLT.O,4260.0,8.808309939922765e-05,0.5215962441314554
GLD,4260.0,0.00010869262041524053,0.5138497652582159
XLE,4260.0,0.00029107151203788817,0.5035211267605634
