,n,mse,hit
SPY,4260.0,0.0001151531541836448,0.5387323943661971
TLT.O,4260.0,8.61612570588477e-05,0.5157276995305164
GLD,4260.0,0.00010373644181527197,0.5133802816901408
XLE,4260.0,0.0002842489629983902,0.5215962441314554
